dataset_id,path_relative,file_name,file_ext,data_level,role,is_master,should_be_in_github,expected_in_project_sources,source_of_truth,load_instructions,notes
master_age_group_rules,DATA/DERIVED/METADATA/MASTER_AGE_GROUP_RULES.csv,MASTER_AGE_GROUP_RULES.csv,csv,metadata,derived_dataset,TRUE,TRUE,FALSE,TRUE,readr::read_csv('DATA/DERIVED/METADATA/MASTER_AGE_GROUP_RULES.csv'),Dataset maestro/metadata estructural: versionar en GitHub.
master_analytic_dataset_spec,DATA/DERIVED/METADATA/MASTER_ANALYTIC_DATASET_SPEC.csv,MASTER_ANALYTIC_DATASET_SPEC.csv,csv,metadata,derived_dataset,TRUE,TRUE,FALSE,TRUE,readr::read_csv('DATA/DERIVED/METADATA/MASTER_ANALYTIC_DATASET_SPEC.csv'),Dataset maestro/metadata estructural: versionar en GitHub.
master_analytic_flags_rules,DATA/DERIVED/METADATA/MASTER_ANALYTIC_FLAGS_RULES.csv,MASTER_ANALYTIC_FLAGS_RULES.csv,csv,metadata,derived_dataset,TRUE,TRUE,FALSE,TRUE,readr::read_csv('DATA/DERIVED/METADATA/MASTER_ANALYTIC_FLAGS_RULES.csv'),Dataset maestro/metadata estructural: versionar en GitHub.
master_data_dictionary,DATA/DERIVED/METADATA/MASTER_DATA_DICTIONARY.csv,MASTER_DATA_DICTIONARY.csv,csv,metadata,master_data_dictionary,TRUE,TRUE,FALSE,TRUE,readr::read_csv('DATA/DERIVED/METADATA/MASTER_DATA_DICTIONARY.csv'),Dataset maestro/metadata estructural: versionar en GitHub.
master_denominator_rules,DATA/DERIVED/METADATA/MASTER_DENOMINATOR_RULES.csv,MASTER_DENOMINATOR_RULES.csv,csv,metadata,derived_dataset,TRUE,TRUE,FALSE,TRUE,readr::read_csv('DATA/DERIVED/METADATA/MASTER_DENOMINATOR_RULES.csv'),Dataset maestro/metadata estructural: versionar en GitHub.
master_residence_rules,DATA/DERIVED/METADATA/MASTER_RESIDENCE_RULES.csv,MASTER_RESIDENCE_RULES.csv,csv,metadata,derived_dataset,TRUE,TRUE,FALSE,TRUE,readr::read_csv('DATA/DERIVED/METADATA/MASTER_RESIDENCE_RULES.csv'),Dataset maestro/metadata estructural: versionar en GitHub.
master_value_dictionary,DATA/DERIVED/METADATA/MASTER_VALUE_DICTIONARY.csv,MASTER_VALUE_DICTIONARY.csv,csv,metadata,dictionary,TRUE,TRUE,FALSE,TRUE,readr::read_csv('DATA/DERIVED/METADATA/MASTER_VALUE_DICTIONARY.csv'),Dataset maestro/metadata estructural: versionar en GitHub.
master_variable_decision_table,DATA/DERIVED/METADATA/MASTER_VARIABLE_DECISION_TABLE.csv,MASTER_VARIABLE_DECISION_TABLE.csv,csv,metadata,derived_dataset,TRUE,TRUE,FALSE,TRUE,readr::read_csv('DATA/DERIVED/METADATA/MASTER_VARIABLE_DECISION_TABLE.csv'),Dataset maestro/metadata estructural: versionar en GitHub.
master_variable_map,DATA/DERIVED/METADATA/MASTER_VARIABLE_MAP.csv,MASTER_VARIABLE_MAP.csv,csv,metadata,master_variable_map,TRUE,TRUE,FALSE,TRUE,readr::read_csv('DATA/DERIVED/METADATA/MASTER_VARIABLE_MAP.csv'),Dataset maestro/metadata estructural: versionar en GitHub.
qa_master_files_detail,REPORTS/METADATA/QA_master_files_detail.csv,QA_master_files_detail.csv,csv,metadata,report_table,TRUE,TRUE,FALSE,TRUE,readr::read_csv('REPORTS/METADATA/QA_master_files_detail.csv'),Dataset maestro/metadata estructural: versionar en GitHub.
